---,X,Y,Z
0.0,0.000000,0.000000,0.000000
0.016668,0.035762,0.000846,0.062846
0.033335,0.070785,0.003301,0.123261
0.050003,0.105076,0.007311,0.181297
0.06667,0.138637,0.012820,0.236994
0.083337,0.171476,0.019771,0.290400
0.100005,0.203598,0.028111,0.341562
0.116673,0.235005,0.037783,0.390520
0.133342,0.265704,0.048732,0.437319
0.15001,0.295697,0.060902,0.482004
0.166678,0.324990,0.074238,0.524619
0.183344,0.353585,0.088683,0.565205
0.200013,0.381493,0.104183,0.603815
0.216681,0.408714,0.120683,0.640489
0.233348,0.435252,0.138125,0.675268
0.250015,0.461113,0.156455,0.708200
0.266684,0.486304,0.175619,0.739332
0.283352,0.510828,0.195560,0.768706
0.300021,0.534689,0.216223,0.796367
0.316688,0.557889,0.237550,0.822356
0.333355,0.580437,0.259487,0.846720
0.350023,0.602336,0.281980,0.869505
0.36669,0.623590,0.304970,0.890753
0.383373,0.644224,0.328427,0.910528
0.400041,0.664205,0.352252,0.928839
0.416711,0.683556,0.376411,0.945749
0.433378,0.702281,0.400845,0.961299
0.450046,0.720384,0.425500,0.975536
0.466714,0.737871,0.450322,0.988505
0.483381,0.754746,0.475253,1.000249
0.500048,0.771015,0.500240,1.010814
0.516716,0.786682,0.525227,1.020244
0.533384,0.801751,0.550157,1.028583
0.550052,0.816227,0.574976,1.035876
0.56672,0.830115,0.599628,1.042168
0.583387,0.843420,0.624057,1.047502
0.600054,0.856144,0.648206,1.051924
0.616721,0.868295,0.672023,1.055477
0.63339,0.879877,0.695452,1.058208
0.650057,0.890894,0.718435,1.060159
0.666725,0.901350,0.740918,1.061376
0.683393,0.911252,0.762846,1.061902
0.700061,0.920601,0.784161,1.061783
0.716729,0.929405,0.804811,1.061063
0.733397,0.937667,0.824737,1.059787
0.750065,0.945392,0.843886,1.057998
0.766733,0.952585,0.862201,1.055741
0.7834,0.959250,0.879626,1.053062
0.800068,0.965392,0.896109,1.050004
0.816736,0.971016,0.911589,1.046612
0.833404,0.976126,0.926016,1.042930
0.850071,0.980727,0.939330,1.039004
0.866739,0.984824,0.951478,1.034877
0.883407,0.988421,0.962404,1.030594
0.900075,0.991522,0.972052,1.026199
0.916743,0.994134,0.980367,1.021737
0.933411,0.996260,0.987294,1.017253
0.950079,0.997905,0.992775,1.012790
0.966745,0.999073,0.996757,1.008395
0.983413,0.999770,0.999184,1.004110
1.000082,1.000000,1.000000,1.000000
1.01675,1.000000,1.000000,1.000000
1.033417,1.000000,1.000000,1.000000
1.050085,1.000000,1.000000,1.000000
1.066752,1.000000,1.000000,1.000000
1.083419,1.000000,1.000000,1.000000
1.100086,1.000000,1.000000,1.000000
1.116753,1.000000,1.000000,1.000000
1.133421,1.000000,1.000000,1.000000
1.150089,1.000000,1.000000,1.000000
1.166757,1.000000,1.000000,1.000000
1.183425,1.000000,1.000000,1.000000
1.200093,1.000000,1.000000,1.000000
1.21676,1.000000,1.000000,1.000000
1.233428,1.000000,1.000000,1.000000
1.250094,1.000000,1.000000,1.000000
1.266762,1.000000,1.000000,1.000000
1.283429,1.000000,1.000000,1.000000
1.300097,1.000000,1.000000,1.000000
1.316765,1.000000,1.000000,1.000000
1.333433,1.000000,1.000000,1.000000
1.3501,1.000000,1.000000,1.000000
1.366767,1.000000,1.000000,1.000000
1.383435,1.000000,1.000000,1.000000
1.400102,1.000000,1.000000,1.000000
1.416769,1.000000,1.000000,1.000000
1.433437,1.000000,1.000000,1.000000
1.450104,1.000000,1.000000,1.000000
