---,X,Y,Z
0.0,0.000000,0.000000,0.000000
0.016668,0.021197,0.018467,0.000000
0.033335,0.042099,0.036681,0.000000
0.050003,0.062712,0.054646,0.000000
0.06667,0.083034,0.072363,0.000000
0.083337,0.103070,0.089834,0.000000
0.100005,0.122823,0.107063,0.000000
0.116673,0.142291,0.124048,0.000000
0.133342,0.161479,0.140792,0.000000
0.15001,0.180388,0.157297,0.000000
0.166678,0.199019,0.173565,0.000000
0.183344,0.217374,0.189595,0.000000
0.200013,0.235457,0.205393,0.000000
0.216681,0.253268,0.220958,0.000000
0.233348,0.270809,0.236292,0.000000
0.250015,0.288082,0.251396,0.000000
0.266684,0.305092,0.266274,0.000000
0.283352,0.321837,0.280927,0.000000
0.300021,0.338322,0.295355,0.000000
0.316688,0.354545,0.309560,0.000000
0.333355,0.370510,0.323544,0.000000
0.350023,0.386220,0.337310,0.000000
0.36669,0.401675,0.350858,0.000000
0.383373,0.416893,0.364203,0.000000
0.400041,0.431848,0.377322,0.000000
0.416711,0.446556,0.390230,0.000000
0.433378,0.461015,0.402926,0.000000
0.450046,0.475231,0.415413,0.000000
0.466714,0.489205,0.427693,0.000000
0.483381,0.502938,0.439767,0.000000
0.500048,0.516433,0.451638,0.000000
0.516716,0.529692,0.463307,0.000000
0.533384,0.542717,0.474775,0.000000
0.550052,0.555509,0.486045,0.000000
0.56672,0.568071,0.497118,0.000000
0.583387,0.580404,0.507995,0.000000
0.600054,0.592510,0.518679,0.000000
0.616721,0.604391,0.529170,0.000000
0.63339,0.616051,0.539472,0.000000
0.650057,0.627490,0.549585,0.000000
0.666725,0.638709,0.559511,0.000000
0.683393,0.649713,0.569252,0.000000
0.700061,0.660501,0.578810,0.000000
0.716729,0.671076,0.588186,0.000000
0.733397,0.681440,0.597381,0.000000
0.750065,0.691596,0.606399,0.000000
0.766733,0.701544,0.615239,0.000000
0.7834,0.711286,0.623904,0.000000
0.800068,0.720827,0.632396,0.000000
0.816736,0.730165,0.640716,0.000000
0.833404,0.739304,0.648867,0.000000
0.850071,0.748246,0.656849,0.000000
0.866739,0.756992,0.664664,0.000000
0.883407,0.765545,0.672315,0.000000
0.900075,0.773907,0.679802,0.000000
0.916743,0.782079,0.687128,0.000000
0.933411,0.790063,0.694294,0.000000
0.950079,0.797862,0.701301,0.000000
0.966745,0.805476,0.708152,0.000000
0.983413,0.812910,0.714849,0.000000
1.000082,0.820163,0.721392,0.000000
1.01675,0.827239,0.727784,0.000000
1.033417,0.834139,0.734026,0.000000
1.050085,0.840864,0.740120,0.000000
1.066752,0.847417,0.746068,0.000000
1.083419,0.853801,0.751871,0.000000
1.100086,0.860016,0.757531,0.000000
1.116753,0.866065,0.763050,0.000000
1.133421,0.871950,0.768429,0.000000
1.150089,0.877673,0.773671,0.000000
1.166757,0.883236,0.778776,0.000000
1.183425,0.888640,0.783747,0.000000
1.200093,0.893887,0.788585,0.000000
1.21676,0.898980,0.793291,0.000000
1.233428,0.903921,0.797869,0.000000
1.250094,0.908711,0.802318,0.000000
1.266762,0.913352,0.806641,0.000000
1.283429,0.917847,0.810840,0.000000
1.300097,0.922197,0.814917,0.000000
1.316765,0.926404,0.818872,0.000000
1.333433,0.930470,0.822708,0.000000
1.3501,0.934398,0.826427,0.000000
1.366767,0.938188,0.830029,0.000000
1.383435,0.941843,0.833517,0.000000
1.400102,0.945366,0.836893,0.000000
1.416769,0.948757,0.840158,0.000000
