---,X,Y,Z
0.0,0.000000,0.000000,0.000000
0.016668,0.015106,0.000000,0.000000
0.033335,0.059772,0.000000,0.000000
0.050003,0.133030,0.000000,0.000000
0.06667,0.233901,0.000000,0.000000
0.083337,0.361422,0.000000,0.000000
0.100005,0.514631,0.000000,0.000000
0.116673,0.692543,0.000000,0.000000
0.133342,0.894195,0.000000,0.000000
0.15001,1.118611,0.000000,0.000000
0.166678,1.364820,0.000000,0.000000
0.183344,1.631831,0.000000,0.000000
0.200013,1.918720,0.000000,0.000000
0.216681,2.224488,0.000000,0.000000
0.233348,2.548143,0.000000,0.000000
0.250015,2.888738,0.000000,0.000000
0.266684,3.245327,0.000000,0.000000
0.283352,3.616912,0.000000,0.000000
0.300021,4.002529,0.000000,0.000000
0.316688,4.401165,0.000000,0.000000
0.333355,4.811885,0.000000,0.000000
0.350023,5.233725,0.000000,0.000000
0.36669,5.665687,0.000000,0.000000
0.383373,6.107241,0.000000,0.000000
0.400041,6.556611,0.000000,0.000000
0.416711,7.013237,0.000000,0.000000
0.433378,7.476069,0.000000,0.000000
0.450046,7.944178,0.000000,0.000000
0.466714,8.416614,0.000000,0.000000
0.483381,8.892369,0.000000,0.000000
0.500048,9.370511,0.000000,0.000000
0.516716,9.850062,0.000000,0.000000
0.533384,10.330033,0.000000,0.000000
0.550052,10.809459,0.000000,0.000000
0.56672,11.287392,0.000000,0.000000
0.583387,11.762812,0.000000,0.000000
0.600054,12.234758,0.000000,0.000000
0.616721,12.702287,0.000000,0.000000
0.63339,13.164453,0.000000,0.000000
0.650057,13.620225,0.000000,0.000000
0.666725,14.068668,0.000000,0.000000
0.683393,14.508808,0.000000,0.000000
0.700061,14.939643,0.000000,0.000000
0.716729,15.360249,0.000000,0.000000
0.733397,15.769606,0.000000,0.000000
0.750065,16.166788,0.000000,0.000000
0.766733,16.550787,0.000000,0.000000
0.7834,16.920643,0.000000,0.000000
0.800068,17.275406,0.000000,0.000000
0.816736,17.614067,0.000000,0.000000
0.833404,17.935701,0.000000,0.000000
0.850071,18.239292,0.000000,0.000000
0.866739,18.523899,0.000000,0.000000
0.883407,18.788544,0.000000,0.000000
0.900075,19.032234,0.000000,0.000000
0.916743,19.254036,0.000000,0.000000
0.933411,19.452953,0.000000,0.000000
0.950079,19.628025,0.000000,0.000000
0.966745,19.778261,0.000000,0.000000
0.983413,19.902716,0.000000,0.000000
1.000082,20.000412,0.000000,0.000000
1.01675,20.079903,0.000000,0.000000
1.033417,20.150433,0.000000,0.000000
1.050085,20.212317,0.000000,0.000000
1.066752,20.265875,0.000000,0.000000
1.083419,20.311428,0.000000,0.000000
1.100086,20.349287,0.000000,0.000000
1.116753,20.379776,0.000000,0.000000
1.133421,20.403210,0.000000,0.000000
1.150089,20.419905,0.000000,0.000000
1.166757,20.430182,0.000000,0.000000
1.183425,20.434353,0.000000,0.000000
1.200093,20.432739,0.000000,0.000000
1.21676,20.425659,0.000000,0.000000
1.233428,20.413427,0.000000,0.000000
1.250094,20.396364,0.000000,0.000000
1.266762,20.374786,0.000000,0.000000
1.283429,20.349010,0.000000,0.000000
1.300097,20.319355,0.000000,0.000000
1.316765,20.286137,0.000000,0.000000
1.333433,20.249672,0.000000,0.000000
1.3501,20.210281,0.000000,0.000000
1.366767,20.168283,0.000000,0.000000
1.383435,20.123989,0.000000,0.000000
1.400102,20.077724,0.000000,0.000000
1.416769,20.029800,0.000000,0.000000
1.433437,19.980536,0.000000,0.000000
1.450104,19.930250,0.000000,0.000000
1.466772,19.879261,0.000000,0.000000
1.48344,19.827883,0.000000,0.000000
1.500108,19.776436,0.000000,0.000000
1.516775,19.725239,0.000000,0.000000
1.533443,19.674604,0.000000,0.000000
1.550111,19.624855,0.000000,0.000000
1.566778,19.576305,0.000000,0.000000
1.583445,19.529276,0.000000,0.000000
1.600114,19.484077,0.000000,0.000000
1.616783,19.441036,0.000000,0.000000
1.63345,19.400467,0.000000,0.000000
1.650117,19.362686,0.000000,0.000000
1.666786,19.328009,0.000000,0.000000
1.683453,19.296759,0.000000,0.000000
1.700121,19.269249,0.000000,0.000000
1.716788,19.245798,0.000000,0.000000
1.733455,19.226723,0.000000,0.000000
1.750123,19.212341,0.000000,0.000000
1.76679,19.202974,0.000000,0.000000
1.783458,19.198933,0.000000,0.000000
1.800125,19.200382,0.000000,0.000000
1.816793,19.203695,0.000000,0.000000
1.83346,19.207226,0.000000,0.000000
1.850128,19.210976,0.000000,0.000000
1.866803,19.214939,0.000000,0.000000
1.883471,19.219114,0.000000,0.000000
1.900139,19.223499,0.000000,0.000000
1.916805,19.228088,0.000000,0.000000
1.933473,19.232882,0.000000,0.000000
1.950141,19.237877,0.000000,0.000000
1.966809,19.243069,0.000000,0.000000
1.98349,19.248459,0.000000,0.000000
2.000157,19.254038,0.000000,0.000000
2.016824,19.259808,0.000000,0.000000
2.033491,19.265762,0.000000,0.000000
2.050159,19.271902,0.000000,0.000000
2.066826,19.278223,0.000000,0.000000
2.083495,19.284721,0.000000,0.000000
2.100162,19.291397,0.000000,0.000000
2.116829,19.298244,0.000000,0.000000
2.133496,19.305262,0.000000,0.000000
2.150163,19.312445,0.000000,0.000000
2.166831,19.319796,0.000000,0.000000
2.183498,19.327307,0.000000,0.000000
2.200165,19.334976,0.000000,0.000000
2.216834,19.342802,0.000000,0.000000
2.233501,19.350782,0.000000,0.000000
2.25017,19.358913,0.000000,0.000000
2.266839,19.367191,0.000000,0.000000
2.283506,19.375614,0.000000,0.000000
2.300173,19.384180,0.000000,0.000000
2.316841,19.392885,0.000000,0.000000
2.333509,19.401728,0.000000,0.000000
2.350177,19.410704,0.000000,0.000000
2.366846,19.419811,0.000000,0.000000
2.383513,19.429047,0.000000,0.000000
2.400182,19.438408,0.000000,0.000000
2.416849,19.447891,0.000000,0.000000
2.433516,19.457497,0.000000,0.000000
2.450183,19.467216,0.000000,0.000000
2.466851,19.477053,0.000000,0.000000
2.483518,19.487001,0.000000,0.000000
2.500185,19.497057,0.000000,0.000000
2.516853,19.507221,0.000000,0.000000
2.53352,19.517487,0.000000,0.000000
2.550188,19.527855,0.000000,0.000000
2.566856,19.538319,0.000000,0.000000
2.583523,19.548880,0.000000,0.000000
2.60019,19.559532,0.000000,0.000000
2.616858,19.570274,0.000000,0.000000
2.633525,19.581102,0.000000,0.000000
2.650192,19.592016,0.000000,0.000000
2.666861,19.603010,0.000000,0.000000
2.683528,19.614082,0.000000,0.000000
2.700195,19.625231,0.000000,0.000000
2.716862,19.636452,0.000000,0.000000
2.73353,19.647745,0.000000,0.000000
2.750197,19.659103,0.000000,0.000000
2.766865,19.670527,0.000000,0.000000
2.783533,19.682013,0.000000,0.000000
2.800201,19.693558,0.000000,0.000000
2.816868,19.705158,0.000000,0.000000
2.833535,19.716812,0.000000,0.000000
2.850203,19.728516,0.000000,0.000000
2.86687,19.740271,0.000000,0.000000
2.883538,19.752068,0.000000,0.000000
2.900204,19.763906,0.000000,0.000000
2.916872,19.775787,0.000000,0.000000
2.93354,19.787704,0.000000,0.000000
2.950207,19.799656,0.000000,0.000000
2.966875,19.811638,0.000000,0.000000
2.983543,19.823648,0.000000,0.000000
3.00021,19.835686,0.000000,0.000000
3.016877,19.847746,0.000000,0.000000
3.033544,19.859825,0.000000,0.000000
3.050211,19.871922,0.000000,0.000000
3.066879,19.884033,0.000000,0.000000
3.083547,19.896158,0.000000,0.000000
3.100214,19.908291,0.000000,0.000000
3.116882,19.920431,0.000000,0.000000
3.13355,19.932573,0.000000,0.000000
3.150218,19.944717,0.000000,0.000000
3.166885,19.956860,0.000000,0.000000
3.183553,19.968996,0.000000,0.000000
3.20022,19.981125,0.000000,0.000000
3.216888,19.993244,0.000000,0.000000
3.233555,20.005350,0.000000,0.000000
3.250223,20.017441,0.000000,0.000000
3.266891,20.029510,0.000000,0.000000
3.283559,20.041563,0.000000,0.000000
3.300227,20.053589,0.000000,0.000000
3.316894,20.065586,0.000000,0.000000
3.333561,20.077555,0.000000,0.000000
3.350229,20.089491,0.000000,0.000000
3.366896,20.101395,0.000000,0.000000
3.383564,20.113256,0.000000,0.000000
3.400232,20.125078,0.000000,0.000000
3.416899,20.136856,0.000000,0.000000
3.433567,20.148590,0.000000,0.000000
3.450234,20.160273,0.000000,0.000000
3.466902,20.171904,0.000000,0.000000
3.483569,20.183479,0.000000,0.000000
3.500237,20.194998,0.000000,0.000000
3.516904,20.206457,0.000000,0.000000
3.533571,20.217854,0.000000,0.000000
3.550239,20.229183,0.000000,0.000000
3.566907,20.240442,0.000000,0.000000
3.583575,20.251633,0.000000,0.000000
3.600243,20.262749,0.000000,0.000000
3.61692,20.273794,0.000000,0.000000
3.633587,20.284754,0.000000,0.000000
3.650255,20.295630,0.000000,0.000000
3.666922,20.306421,0.000000,0.000000
3.683589,20.317123,0.000000,0.000000
3.700257,20.327736,0.000000,0.000000
3.716925,20.338257,0.000000,0.000000
3.733609,20.348688,0.000000,0.000000
3.750277,20.359013,0.000000,0.000000
3.766945,20.369234,0.000000,0.000000
3.783612,20.379349,0.000000,0.000000
3.800279,20.389360,0.000000,0.000000
3.816947,20.399258,0.000000,0.000000
3.833615,20.409044,0.000000,0.000000
3.850282,20.418715,0.000000,0.000000
3.866949,20.428267,0.000000,0.000000
3.883616,20.437695,0.000000,0.000000
3.900284,20.447002,0.000000,0.000000
3.916951,20.456181,0.000000,0.000000
3.933619,20.465231,0.000000,0.000000
3.950287,20.474150,0.000000,0.000000
3.966954,20.482931,0.000000,0.000000
3.983622,20.491573,0.000000,0.000000
4.000289,20.500076,0.000000,0.000000
4.016956,20.508436,0.000000,0.000000
4.033625,20.516649,0.000000,0.000000
4.050292,20.524714,0.000000,0.000000
4.066959,20.532625,0.000000,0.000000
4.083627,20.540384,0.000000,0.000000
4.100295,20.547987,0.000000,0.000000
4.116962,20.555428,0.000000,0.000000
4.133629,20.562702,0.000000,0.000000
4.150298,20.569815,0.000000,0.000000
4.166965,20.576757,0.000000,0.000000
4.183632,20.583529,0.000000,0.000000
4.200299,20.590126,0.000000,0.000000
4.216966,20.596548,0.000000,0.000000
4.233633,20.602787,0.000000,0.000000
4.250301,20.608847,0.000000,0.000000
4.266969,20.614723,0.000000,0.000000
4.283637,20.620407,0.000000,0.000000
4.300304,20.625904,0.000000,0.000000
4.316971,20.631201,0.000000,0.000000
4.333639,20.636309,0.000000,0.000000
4.350306,20.641214,0.000000,0.000000
4.366974,20.645920,0.000000,0.000000
4.383642,20.650421,0.000000,0.000000
4.40031,20.654711,0.000000,0.000000
4.416977,20.658794,0.000000,0.000000
4.433644,20.662663,0.000000,0.000000
4.450311,20.666317,0.000000,0.000000
4.466979,20.669754,0.000000,0.000000
4.483646,20.672966,0.000000,0.000000
4.500314,20.675957,0.000000,0.000000
4.516982,20.678722,0.000000,0.000000
4.533648,20.681253,0.000000,0.000000
4.550317,20.683558,0.000000,0.000000
4.566985,20.685621,0.000000,0.000000
4.583653,20.687449,0.000000,0.000000
4.600321,20.689037,0.000000,0.000000
4.616988,20.690382,0.000000,0.000000
4.633656,20.691479,0.000000,0.000000
4.650323,20.692327,0.000000,0.000000
4.66699,20.692926,0.000000,0.000000
4.683657,20.693155,0.000000,0.000000
4.700325,20.692850,0.000000,0.000000
4.716992,20.692022,0.000000,0.000000
4.73366,20.690678,0.000000,0.000000
4.750328,20.688826,0.000000,0.000000
4.766994,20.686474,0.000000,0.000000
4.783662,20.683630,0.000000,0.000000
4.80033,20.680305,0.000000,0.000000
4.816998,20.676508,0.000000,0.000000
4.833665,20.672245,0.000000,0.000000
4.850332,20.667524,0.000000,0.000000
4.866999,20.662357,0.000000,0.000000
4.883666,20.656750,0.000000,0.000000
4.900333,20.650711,0.000000,0.000000
4.917,20.644251,0.000000,0.000000
4.933667,20.637377,0.000000,0.000000
4.950335,20.630096,0.000000,0.000000
4.967002,20.622419,0.000000,0.000000
4.983669,20.614355,0.000000,0.000000
5.000337,20.605909,0.000000,0.000000
5.017004,20.597094,0.000000,0.000000
5.033672,20.587914,0.000000,0.000000
5.05034,20.578381,0.000000,0.000000
5.067007,20.568502,0.000000,0.000000
5.083674,20.558285,0.000000,0.000000
5.100342,20.547741,0.000000,0.000000
5.11701,20.536875,0.000000,0.000000
5.133677,20.525700,0.000000,0.000000
5.150344,20.514219,0.000000,0.000000
5.167012,20.502445,0.000000,0.000000
5.183679,20.490387,0.000000,0.000000
5.200346,20.478048,0.000000,0.000000
5.217014,20.465443,0.000000,0.000000
5.233682,20.452576,0.000000,0.000000
5.250349,20.439457,0.000000,0.000000
5.267016,20.426094,0.000000,0.000000
5.283683,20.412498,0.000000,0.000000
5.30035,20.398676,0.000000,0.000000
5.317018,20.384634,0.000000,0.000000
5.333686,20.370384,0.000000,0.000000
5.350353,20.355934,0.000000,0.000000
5.367021,20.341290,0.000000,0.000000
5.383688,20.326464,0.000000,0.000000
5.400357,20.311460,0.000000,0.000000
5.417025,20.296291,0.000000,0.000000
5.433692,20.280966,0.000000,0.000000
5.45036,20.265488,0.000000,0.000000
5.467027,20.249872,0.000000,0.000000
5.483695,20.234123,0.000000,0.000000
5.500362,20.218248,0.000000,0.000000
5.517031,20.202259,0.000000,0.000000
5.533698,20.186163,0.000000,0.000000
5.550366,20.169968,0.000000,0.000000
5.567035,20.153683,0.000000,0.000000
5.583702,20.137318,0.000000,0.000000
5.600369,20.120880,0.000000,0.000000
5.617037,20.104378,0.000000,0.000000
5.633705,20.087818,0.000000,0.000000
5.650372,20.071215,0.000000,0.000000
5.667039,20.054569,0.000000,0.000000
5.683719,20.037884,0.000000,0.000000
5.700387,20.021189,0.000000,0.000000
5.717054,20.004478,0.000000,0.000000
5.733722,19.987764,0.000000,0.000000
5.75039,19.971056,0.000000,0.000000
5.767057,19.954359,0.000000,0.000000
5.783724,19.937683,0.000000,0.000000
5.800391,19.921038,0.000000,0.000000
5.817058,19.904428,0.000000,0.000000
5.833725,19.887869,0.000000,0.000000
5.850392,19.871363,0.000000,0.000000
5.867061,19.854919,0.000000,0.000000
5.883728,19.838549,0.000000,0.000000
5.900395,19.822258,0.000000,0.000000
5.917063,19.806059,0.000000,0.000000
5.933732,19.789955,0.000000,0.000000
5.950399,19.773958,0.000000,0.000000
5.967066,19.758076,0.000000,0.000000
5.983733,19.742317,0.000000,0.000000
6.0004,19.726692,0.000000,0.000000
6.017067,19.711206,0.000000,0.000000
6.033734,19.695871,0.000000,0.000000
6.050402,19.680691,0.000000,0.000000
6.06707,19.665676,0.000000,0.000000
6.083736,19.650839,0.000000,0.000000
6.100404,19.636183,0.000000,0.000000
6.117072,19.621719,0.000000,0.000000
6.133739,19.607456,0.000000,0.000000
6.150406,19.593397,0.000000,0.000000
6.167073,19.579561,0.000000,0.000000
6.183741,19.565950,0.000000,0.000000
6.200408,19.552572,0.000000,0.000000
6.217075,19.539434,0.000000,0.000000
6.233743,19.526552,0.000000,0.000000
6.25041,19.513927,0.000000,0.000000
6.267077,19.501570,0.000000,0.000000
6.283745,19.489492,0.000000,0.000000
6.300413,19.477697,0.000000,0.000000
6.317081,19.466196,0.000000,0.000000
6.333748,19.454998,0.000000,0.000000
6.350417,19.444111,0.000000,0.000000
6.367084,19.433546,0.000000,0.000000
6.383752,19.423307,0.000000,0.000000
6.40042,19.413404,0.000000,0.000000
6.417088,19.403845,0.000000,0.000000
6.433756,19.394642,0.000000,0.000000
6.450423,19.385803,0.000000,0.000000
6.467091,19.377331,0.000000,0.000000
6.483759,19.369238,0.000000,0.000000
6.500427,19.361536,0.000000,0.000000
6.517096,19.354227,0.000000,0.000000
6.533765,19.347324,0.000000,0.000000
6.550432,19.340837,0.000000,0.000000
6.5671,19.334766,0.000000,0.000000
6.583768,19.329134,0.000000,0.000000
6.600436,19.323996,0.000000,0.000000
6.617104,19.319527,0.000000,0.000000
6.633772,19.315720,0.000000,0.000000
6.65044,19.312565,0.000000,0.000000
6.667107,19.310049,0.000000,0.000000
6.683775,19.308157,0.000000,0.000000
6.700443,19.306877,0.000000,0.000000
6.71711,19.306198,0.000000,0.000000
6.733778,19.306105,0.000000,0.000000
6.750444,19.306587,0.000000,0.000000
6.767112,19.307631,0.000000,0.000000
6.783779,19.309223,0.000000,0.000000
6.800447,19.311352,0.000000,0.000000
6.817113,19.314005,0.000000,0.000000
